,product_from,product_to,flow_amount,product_code_from,product_code_to
0,agricultural_residue,biomass,781.989426819857,0,13
2,biomass,heat,339.25089636228677,13,14
4,biomass,methanol,859.1557498197558,13,15
5,biomass,other_intermediates,5.747587517260858,13,16
6,btx,loss,7.420934649649126,20,17
8,btx,plastic_product,127.97627629364399,20,18
9,co2_feedstock,co2_storage,344.82227409601046,23,19
14,ethylene,loss,20.680818674215658,21,17
15,ethylene,plastic_product,249.67859679010087,21,18
16,forest_residue,biomass,422.16480687944636,5,13
17,fossil_fuel,btx,5.149236383460142,6,20
18,fossil_fuel,ethylene,83.98848211592029,6,21
20,fossil_fuel,propylene,38.776046996894316,6,22
21,heat,loss,339.25089636228677,14,17
24,methanol,btx,130.24797455983298,15,20
25,methanol,co2_feedstock,344.6862662053527,15,23
26,methanol,ethylene,186.37093334839622,15,21
27,methanol,loss,309.5123495313206,15,17
28,methanol,other_intermediates,1.8695024538446414,15,16
29,methanol,propylene,143.36225642184323,15,22
30,other_intermediates,co2_feedstock,0.023785498241689945,16,23
34,other_intermediates,other_intermediates,0.8456678002105559,16,16
35,other_intermediates,plastic_product,23.493047374112862,16,18
37,plastic_product,loss,34.35747358534968,18,17
38,plastic_product,plastic_waste,646.1426971218314,18,24
39,plastic_waste,loss,167.081160056273,24,17
40,plastic_waste,methanol,256.8935327008345,24,15
41,plastic_waste,plastic_product,222.16800436472386,24,18
42,propylene,loss,15.908322057088967,22,17
43,propylene,other_intermediates,2.208194511707803,22,16
44,propylene,plastic_product,164.02178684994078,22,18
